cluster_alias,n
1745,2
1790,1
1794,1
2009,2
2200,2
2301,1
2303,8
2309,3
2310,13
2444,1
2509,1
2622,2
2879,1
2881,2
2882,1
2884,1
2887,2
2891,1
2895,3
2898,97
2899,33
2900,83
2901,28
2902,81
2903,22
2904,48
2905,18
2906,78
2907,240
2908,42
2910,3
2911,28
2912,4
2913,15
3425,6
3432,3
3434,1
3490,1
4486,1
4517,1
4527,3
4573,1
4647,2
4668,1
4683,1
4684,1
4687,3
4690,1
4702,1
4708,2
4709,1
4721,2
4727,1
4728,9
4729,1
4730,4
4731,2
4732,3
4735,2
4737,1
4770,1
4837,9
4839,9
4840,13
4844,3
4846,1
4851,1
4852,3
4856,1
4858,3
4861,3
4903,1
4925,1
5031,1
5035,1
5038,5
5039,1
5044,3
5048,3
5049,1
5050,6
5054,3
5057,2
5062,1
5077,1
5079,1
5081,1
5084,1
5085,2
5090,3
5094,1
5097,1
5101,1
5106,2
5112,10
5113,7
5128,1
5137,1
5139,3
5203,13
5204,58
5211,4
5212,2
5213,3
5214,1
5215,2
5218,1
5230,128
5231,307
5232,20
5233,7
5234,6
5236,5
5237,1
5243,42
5244,3
5249,27
5250,16
5252,48
5254,152
5255,20
5261,15
5262,14
5266,1
5268,1
5274,1
5283,20
14851,1
14852,3
14865,47
14930,2
14956,277
14962,64
14975,4
14977,7
14980,4
14983,105
24467,40
24472,5
24473,13
24574,5
