cell_label,brain_section_label,cluster_alias,average_correlation_score,x_section,y_section,z_section,x_reconstructed,y_reconstructed,z_reconstructed,parcellation_index,x_ccf,y_ccf,z_ccf,parcellation_division,parcellation_structure,parcellation_substructure,cfos
1017092617101800268,C57BL6J-638850.38,5283,0.582495979016181,5.995758912470883,4.715431919021118,6.800000000000001,6.226971242656199,4.699357686092423,6.800000000000001,179,7.207645644329575,3.195783480749117,6.413063940028101,TH,LH,LH,2
1017092617101780513-1,C57BL6J-638850.38,5283,0.555154235847591,4.753933620716681,5.018805321689176,6.800000000000001,4.9222695548586834,4.845413743792638,6.800000000000001,179,7.155061272965311,3.329147461900746,5.083561859068533,TH,LH,LH,1
1017092617101800358-1,C57BL6J-638850.38,5283,0.516931429121288,5.7172482701999945,4.819773111852957,6.800000000000001,5.794362223484698,4.844641407714855,6.800000000000001,179,7.17903518489719,3.3497066549609538,5.970946341006461,TH,LH,LH,0
1019171906102380019,C57BL6J-638850.42,5283,0.542683175790509,6.115044827754297,4.638670965842514,7.6,6.065471322337946,4.932626601503986,7.6,179,6.454494680881661,3.432822420095716,6.244846356887519,TH,LH,LH,1
1017092617101570581,C57BL6J-638850.38,5283,0.550196488053453,6.072982139999977,4.476326299725454,6.800000000000001,6.176254037151905,4.51633942333445,6.800000000000001,179,7.226975464192945,2.9891204125649704,6.356837680547256,TH,LH,LH,2
1019171907102090652,C57BL6J-638850.37,5283,0.557585470154015,5.804256421021123,4.994179389233268,6.6000000000000005,5.796876101540752,4.844887176715485,6.6000000000000005,179,7.359333084086686,3.3571097490589548,5.971389246062422,TH,LH,LH,0
1019171907101860705,C57BL6J-638850.37,5268,0.501411794911727,5.148452772870534,4.962768956096548,6.6000000000000005,5.153681147924707,4.857850516966362,6.6000000000000005,179,7.340611493372458,3.3534239632807625,5.321162959976714,TH,LH,LH,1
1017092617101800109-1,C57BL6J-638850.38,5274,0.602175363022309,6.025033221077241,4.615107717868823,6.800000000000001,6.219624320532725,4.587223922682756,6.800000000000001,179,7.2197924364342,3.07219062524195,6.399416162556332,TH,LH,LH,2
1019171907102310114-1,C57BL6J-638850.37,5283,0.546277160120572,5.9909110485692905,5.042313405439859,6.6000000000000005,6.006241327821792,4.940188292199918,6.6000000000000005,179,7.353993896807139,3.4706507421893544,6.18209054376042,TH,LH,LH,0
1017092617101770299-1,C57BL6J-638850.38,5283,0.51297250627559,4.684167270600651,4.987278350586903,6.800000000000001,4.876567901177579,4.806621055323758,6.800000000000001,179,7.157912012955506,3.286536554968876,5.033326018718489,TH,LH,LH,2
1019171907102090519,C57BL6J-638850.37,5283,0.513621430056982,5.94387711463512,4.74401753028604,6.6000000000000005,5.98815364330615,4.616795939635188,6.6000000000000005,179,7.390599560686783,3.1050480023031835,6.164683265728222,TH,LH,LH,0
1019171907101860392-1,C57BL6J-638850.37,5283,0.515422924136634,4.926282510429864,4.911397796541466,6.6000000000000005,4.933911689000785,4.802032055819333,6.6000000000000005,179,7.340294147508899,3.28968447322351,5.090030066071633,TH,LH,LH,1
1019171907101690338-2,C57BL6J-638850.40,5283,0.509801969294292,5.990350679086857,4.9630133728619,7.2,6.01223644978532,4.92035067992664,7.2,179,6.815228424787797,3.4306443036961003,6.191702288531986,TH,LH,LH,2
1017092617101541264,C57BL6J-638850.38,5283,0.581231689357839,4.757867864877084,4.786675682567325,6.800000000000001,4.947592935856081,4.657578892549603,6.800000000000001,179,7.176804513325804,3.1209038573482584,5.1040554382161085,TH,LH,LH,2
1017092617101800225-1,C57BL6J-638850.38,5283,0.565343094991116,5.8067365087680365,4.719999007154196,6.800000000000001,5.933897198826293,4.746279967731366,6.800000000000001,179,7.194300261033334,3.2408397962603672,6.114395831556464,TH,LH,LH,0
1019171907101860204-1,C57BL6J-638850.37,5283,0.593096130924873,5.063673489297865,4.643036779912093,6.6000000000000005,5.066747346782158,4.509429871542714,6.6000000000000005,179,7.377640320174962,2.961418931649141,5.226907971908909,TH,LH,LH,1
1019171907101860506-1,C57BL6J-638850.37,5283,0.699152849419026,5.094173492867581,4.850831421696461,6.6000000000000005,5.123350617010882,4.734800044332738,6.6000000000000005,179,7.353512970181505,3.216177970426513,5.28602648339728,TH,LH,LH,1
1019171907101690398-2,C57BL6J-638850.40,5283,0.538744387404227,5.940806912897141,4.975506277868144,7.2,5.961568468909156,4.924356567976138,7.2,179,6.813886238669302,3.430284672824632,6.144755030458228,TH,LH,LH,2
1017092617101800301-1,C57BL6J-638850.38,5283,0.524416845367475,5.912230801602171,4.749223767473326,6.800000000000001,6.096102630280727,4.792639123079259,6.800000000000001,179,7.19302812856035,3.299708343964828,6.27458534962893,TH,LH,LH,2
1017092617101570649,C57BL6J-638850.38,5283,0.504713122969161,6.073736675207319,4.536219913179131,6.800000000000001,6.206757081441245,4.5484510156163696,6.800000000000001,179,7.224248209607451,3.0255756376663885,6.389985409948373,TH,LH,LH,2
1019171907101690410-2,C57BL6J-638850.40,14975,0.629103215341108,5.910327703318163,4.886725874623008,7.2,5.943392397768464,4.892589679749079,7.2,179,6.816678803303362,3.3962481072861563,6.12219061427081,TH,LH,LH,1
1017092617101780151-1,C57BL6J-638850.38,14956,0.692541479904176,4.805688889486086,4.8286749825613855,6.800000000000001,4.97214400721727,4.686700871961368,6.800000000000001,179,7.174685054299829,3.1504671303772023,5.134080829796946,TH,LH,LH,2
1104095349101960373-2,C57BL6J-638850.39,14962,0.631218494199716,5.007796991507923,4.6707549680562,7.0,4.993485790474376,4.568515184516331,7.0,179,7.008341933382458,3.0117336278538103,5.154809934621439,TH,LH,LH,2
1104095349101960255-2,C57BL6J-638850.39,14975,0.565023119668834,4.969142967238717,4.800693316942637,7.0,4.933098316008283,4.630418822595051,7.0,179,6.998805420223855,3.085781732234352,5.086064743176918,TH,LH,LH,2
1017092617101540735,C57BL6J-638850.38,14980,0.756452487728972,4.708969995561262,4.596428355608561,6.800000000000001,4.908879472964977,4.512995004853178,6.800000000000001,179,7.191872209761945,2.958846309970722,5.056893885472973,TH,LH,LH,2
1019171907202100204,C57BL6J-638850.37,14865,0.527455692641756,5.929254546861393,4.49862480563349,6.6000000000000005,6.004128416366651,4.405458172685131,6.6000000000000005,179,7.415414293255851,2.865421705859191,6.181280473727418,TH,LH,LH,0
1019171907102040511-1,C57BL6J-638850.40,14983,0.569051197928693,4.870911857136673,4.637759055052176,7.2,4.961637216565908,4.688572608590245,7.2,179,6.813577454633507,3.1384571588901577,5.125427814535901,TH,LH,LH,2
1017092617101560595-1,C57BL6J-638850.38,14980,0.722291722661616,5.877310052293515,4.407653298651562,6.800000000000001,6.0530469539449125,4.418913274195139,6.800000000000001,179,7.235259165353932,2.8725119286096223,6.235794921930185,TH,LH,LH,1
1019171907101860249-1,C57BL6J-638850.37,14983,0.669447955373307,4.962404766918871,4.770278616563534,6.6000000000000005,5.014754681452324,4.619577732500767,6.6000000000000005,179,7.363934727111793,3.082056764872698,5.177260332535942,TH,LH,LH,1
1017092617101540695-1,C57BL6J-638850.38,14980,0.73155553266824,4.713617025509842,4.579178353189911,6.800000000000001,4.911255358557621,4.494716934075024,6.800000000000001,179,7.194710194688006,2.934275602412193,5.068606405921757,TH,LH,LH,2
1019171906202000356,C57BL6J-638850.42,14865,0.525090205959003,5.377381854439566,4.480257899146494,7.6,5.210576394638749,4.823285428399499,7.6,179,6.443654664922142,3.288403069021602,5.376492778139181,TH,LH,LH,0
1019171907101861260,C57BL6J-638850.40,14865,0.602662791064458,5.16521148805328,4.548533149484778,7.2,5.174542494824894,4.586366486917759,7.2,179,6.830552831801292,3.032286485148414,5.336426798047482,TH,LH,LH,1
1019171907101790169-2,C57BL6J-638850.43,14865,0.736001408951509,5.123842082223939,4.928412694119958,7.800000000000001,5.119249091710442,4.916587536272775,7.800000000000001,179,6.249609060879432,3.388257660055764,5.278702678505935,TH,LH,LH,0
1017092617101790293-1,C57BL6J-638850.38,14865,0.598989033845936,5.539159969476638,4.733537576436945,6.800000000000001,5.72913849371713,4.70549251170532,6.800000000000001,179,7.192728424941743,3.1939472284392503,5.898776939972958,TH,LH,LH,0
1019171907102040525-2,C57BL6J-638850.40,14956,0.663433229597845,4.905697204547841,4.819589388662599,7.2,4.91366467674773,4.842699084477953,7.2,179,6.793850017324644,3.3168016981223616,5.070224110841152,TH,LH,LH,2
1019171907102040144-1,C57BL6J-638850.40,14956,0.534669736041085,5.107856293368311,4.650764885411724,7.2,5.112440369854053,4.6787949960261255,7.2,179,6.818790840414096,3.13143675060892,5.278680335006381,TH,LH,LH,2
1019171907101860145-1,C57BL6J-638850.37,14956,0.6250585648258,5.002785458497056,4.64156340806135,6.6000000000000005,5.005869173054394,4.474735173226165,6.6000000000000005,179,7.379675359256167,2.922158325312586,5.1604762566248565,TH,LH,LH,1
1017092617101541207,C57BL6J-638850.38,14956,0.668803966808313,4.934526190539517,4.731500244813978,6.800000000000001,5.109724517511451,4.521379703413392,6.800000000000001,179,7.196375210008783,2.9731055930128343,5.259520294167936,TH,LH,LH,1
1019171907202040332,C57BL6J-638850.40,14956,0.59328819971306,4.964805229559322,4.6678714987747805,7.2,5.023002002517377,4.701387011106572,7.2,179,6.812873676730942,3.1610502164673786,5.179564051966077,TH,LH,LH,2
1019171907102040199-2,C57BL6J-638850.40,14956,0.650415206914489,5.116677634868085,4.809154116482381,7.2,5.1847618142340615,4.854786351416987,7.2,179,6.800096757991277,3.3356631548146725,5.348122253299993,TH,LH,LH,2
1017092617101780687,C57BL6J-638850.38,14962,0.665260619260552,4.759814275470624,5.137935704937148,6.800000000000001,4.925491004903485,4.9411615574292,6.800000000000001,179,7.143618563997086,3.440933000907246,5.0803651805524,TH,LH,LH,1
1019171907102040393-2,C57BL6J-638850.40,14956,0.540698976957404,4.99721215702647,4.828419525024638,7.2,5.013284661713117,4.845427974207921,7.2,179,6.79660373626488,3.320018735223311,5.175107132923459,TH,LH,LH,2
1017092617101790170,C57BL6J-638850.38,14956,0.686677851171082,5.5636676510396965,4.6913818302760175,6.800000000000001,5.752390118064677,4.697393273135342,6.800000000000001,179,7.195121409639279,3.179753922814139,5.931191031768801,TH,LH,LH,0
1019171907102040345-2,C57BL6J-638850.40,14956,0.641649760894535,4.964930185168018,4.59016201057326,7.2,5.02747482997592,4.649921994389281,7.2,179,6.8191478234055625,3.101593812215113,5.187667053273533,TH,LH,LH,2
1019171907102040389-1,C57BL6J-638850.40,5231,0.544189049683298,4.977570528871831,4.749235070055317,7.2,5.016666885160985,4.7701360934321695,7.2,179,6.804624776888822,3.239211942993733,5.168879599386536,TH,LH,LH,2
1017092617101800180-1,C57BL6J-638850.38,14983,0.518179660005192,5.996139035814909,4.664454051226061,6.800000000000001,6.223542706040844,4.629178950691481,6.800000000000001,179,7.215987969577675,3.1133147943605923,6.412038430951464,TH,LH,LH,2
1019171907102090608,C57BL6J-638850.37,14956,0.557481143982853,5.84359278472511,4.917242612729673,6.6000000000000005,5.835029475389111,4.809108369941282,6.6000000000000005,179,7.364974846521813,3.314465264017914,6.016087514019777,TH,LH,LH,0
1104095349101960768,C57BL6J-638850.39,5231,0.545129466136723,5.221786154877737,4.799267015840263,7.0,5.299092771525429,4.730650384281405,7.0,179,6.997333481456963,3.2069968085272422,5.454973154128037,TH,LH,LH,2
1019171907102310104-1,C57BL6J-638850.37,14956,0.595335149987996,6.115747364204834,4.927720277552025,6.6000000000000005,6.099496473341948,4.733060730585747,6.6000000000000005,179,7.380171076791403,3.2395426667314564,6.27451722554503,TH,LH,LH,2
1017092617101560728,C57BL6J-638850.38,14983,0.556503271991456,5.902637129023423,4.462822698222665,6.800000000000001,6.083919988844592,4.473755762095543,6.800000000000001,179,7.229253181960188,2.9392022184853115,6.261832620890246,TH,LH,LH,1
1019171906102190930,C57BL6J-638850.42,14962,0.604255306829395,6.0750827756192605,4.533752396903298,7.6,5.975901451357382,4.843225327200249,7.6,179,6.462219887079846,3.330032626125881,6.152548008267841,TH,LH,LH,0
1017092617101800088-1,C57BL6J-638850.38,14962,0.663330509591851,5.686695052619008,4.661484556560217,6.800000000000001,5.8285012891576695,4.689363480196011,6.800000000000001,179,7.197547570279284,3.1770975120148024,6.004620241759883,TH,LH,LH,0
